product,quantity,price,category
item1,10,15.99,cat1
item2,5,9.99,cat2
item3,2,25.50,cat1
item4,50,5.75,cat3
item5,30,7.25,cat4
item6,15,12.00,cat1
item7,0,8.99,cat2
item8,100,3.49,cat3
item9,200,1.99,cat4
item10,3,45.00,cat1
item11,7,19.99,cat2
item12,12,11.50,cat3
item13,6,6.49,cat4
item14,8,14.99,cat1
item15,20,22.50,cat2
item16,4,17.75,cat3
item17,25,4.99,cat4
item18,0,39.99,cat1
item19,9,29.99,cat2
item20,13,9.99,cat3
item21,50,2.49,cat4
item22,18,15.00,cat1
item23,11,10.50,cat2
item24,5,5.00,cat3
item25,40,8.75,cat4
